Designator,Mid X,Mid Y,Rotation,Layer
S1,106.9975,-64.61125,0.0,top
S10,126.0475,-93.18625,0.0,top
S11,145.0975,-88.42375,0.0,top
S12,164.1475,-93.18625,0.0,top
S13,165.340376,-115.098648,355.0,top
S14,186.508551,-117.780511,350.0,top
S15,207.651527,-122.819553,345.0,top
S16,183.1975,-57.4675,0.0,top
S17,183.1975,-76.5175,0.0,top
S18,183.1975,-95.5675,0.0,top
S2,126.0475,-55.08625,0.0,top
S3,145.0975,-50.32375,0.0,top
S4,164.1475,-55.08625,0.0,top
S5,106.9975,-83.66125,0.0,top
S6,126.0475,-74.13625,0.0,top
S7,145.0975,-69.37375,0.0,top
S8,164.1475,-74.13625,0.0,top
S9,106.9975,-102.71125,0.0,top
U1,209.39125,-76.60875,0.0,top
U2,217.1025,-109.19625,270.0,top
U3,217.1025,-109.19625,90.0,bottom
